"run_id","status","exit_code","duration_sec","rendered_dir","timestamp","error"
"subset10_g3pro_media_rich_20260214_180705","skipped_no_genui","","0","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\subset10_g3pro_media_rich_20260214_180705\rendered","2026-02-18T02:24:25",""
"subset10_g3pro_media_rich_20260214_180751","ok","0","2.06","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\subset10_g3pro_media_rich_20260214_180751\rendered","2026-02-18T02:24:28","2026-02-18 02:24:26 INFO dataset: Stage4 HTTP server started on port 51976 | 2026-02-18 02:24:27 INFO dataset: Stage4 complete. Rendered outputs stored at C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset10_g3pro_media_rich_20260214_180751\rendered"
"subset10_g3pro_media_rich_v2_20260214_215241","ok","0","2.11","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\subset10_g3pro_media_rich_v2_20260214_215241\rendered","2026-02-18T02:24:30","2026-02-18 02:24:28 INFO dataset: Stage4 HTTP server started on port 51980 | 2026-02-18 02:24:29 INFO dataset: Stage4 complete. Rendered outputs stored at C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset10_g3pro_media_rich_v2_20260214_215241\rendered"
"subset10_manual_rich_20260216_230217","skipped_no_genui","","0","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\subset10_manual_rich_20260216_230217\rendered","2026-02-18T02:24:30",""
"subset50_g25flash_20260207_121329","ok","0","100.06","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\subset50_g25flash_20260207_121329\rendered","2026-02-18T02:26:10","at A2uiMessageProcessor.buildNodeRecursive (http://127.0.0.1:51990/renderer/lit/vendor/a2ui/0.8/data/model-processor.js:362:48) |     at A2uiMessageProcessor.rebuildComponentTree (http://127.0.0.1:51990/renderer/lit/vendor/a2ui/0.8/data/model-processor.js:333:38) |     at A2uiMessageProcessor.handleSurfaceUpdate (http://127.0.0.1:51990/renderer/lit/vendor/a2ui/0.8/data/model-processor.js:307:14) |     at A2uiMessageProcessor.processMessages (http://127.0.0.1:51990/renderer/lit/vendor/a2ui/0.8/data/model-processor.js:47:22) |     at renderMessages (http://127.0.0.1:51990/data/runs/subset50_g25flash_20260207_121329/rendered/u_000242_01.html:1462:23) |     at init (http://127.0.0.1:51990/data/runs/subset50_g25flash_20260207_121329/rendered/u_000242_01.html:1496:19); requestfailed: http://127.0.0.1:51990/renderer/lit/vendor/a2ui/index.js?_v=20260217.2 net::ERR_ABORTED; requestfailed: http://127.0.0.1:51990/renderer/lit/vendor/a2ui/0.8/index.js?_v=20260217.2 net::ERR_ABORTED; requestfailed: http://127.0.0.1:51990/renderer/lit/vendor/a2ui/0.8/core.js?_v=20260217.2 net::ERR_ABORTED; requestfailed: http://127.0.0.1:51990/renderer/lit/vendor/a2ui/0.8/ui/ui.js?_v=20260217.2 net::ERR_ABORTED | 2026-02-18 02:25:53 ERROR dataset: Stage4 render error ui_id=u_000282_01: render_error: Page.wait_for_function: Timeout 15000ms exceeded.; console: error: Failed to load GenUICraft Lit renderer Error: Invalid data; expected Row |     at A2uiMessageProcessor.buildNodeRecursive (http://127.0.0.1:51990/renderer/lit/vendor/a2ui/0.8/data/model-processor.js:422:27) |     at http://127.0.0.1:51990/renderer/lit/vendor/a2ui/0.8/data/model-processor.js:560:60 |     at Array.map (<anonymous>) |     at A2uiMessageProcessor.resolvePropertyValue (http://127.0.0.1:51990/renderer/lit/vendor/a2ui/0.8/data/mo"
"subset50_g25pro_20260207_121329","ok","0","3.16","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\subset50_g25pro_20260207_121329\rendered","2026-02-18T02:26:13","2026-02-18 02:26:11 INFO dataset: Stage4 HTTP server started on port 56210 | 2026-02-18 02:26:12 INFO dataset: Stage4 complete. Rendered outputs stored at C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_g25pro_20260207_121329\rendered"
"subset50_g25pro_promptlite_20260212_011030","ok","0","2.06","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\subset50_g25pro_promptlite_20260212_011030\rendered","2026-02-18T02:26:15","2026-02-18 02:26:14 INFO dataset: Stage4 HTTP server started on port 56213 | 2026-02-18 02:26:15 INFO dataset: Stage4 complete. Rendered outputs stored at C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_g25pro_promptlite_20260212_011030\rendered"
"subset50_g25pro_prompttuned_20260212_022406","ok","0","2.06","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\subset50_g25pro_prompttuned_20260212_022406\rendered","2026-02-18T02:26:17","2026-02-18 02:26:16 INFO dataset: Stage4 HTTP server started on port 56216 | 2026-02-18 02:26:17 INFO dataset: Stage4 complete. Rendered outputs stored at C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_g25pro_prompttuned_20260212_022406\rendered"
"subset50_g25pro_promptv6_20260212_223445","ok","0","2.07","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\subset50_g25pro_promptv6_20260212_223445\rendered","2026-02-18T02:26:19","2026-02-18 02:26:18 INFO dataset: Stage4 HTTP server started on port 56219 | 2026-02-18 02:26:19 INFO dataset: Stage4 complete. Rendered outputs stored at C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_g25pro_promptv6_20260212_223445\rendered"
"subset50_g25pro_systemprefix_20260212_014558","ok","0","2.07","C:\Users\anupk\Documents\workspace\A2UI\dataset\data\runs\subset50_g25pro_systemprefix_20260212_014558\rendered","2026-02-18T02:26:21","2026-02-18 02:26:20 INFO dataset: Stage4 HTTP server started on port 56222 | 2026-02-18 02:26:21 INFO dataset: Stage4 complete. Rendered outputs stored at C:\Users\anupk\Documents\git\A2UI\dataset\data\runs\subset50_g25pro_systemprefix_20260212_014558\rendered"
